Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
0610007C21Rik	53.942	16.955	34.148	21.423	18.54	21.692
0610007L01Rik	15.658	14.555	12.153	8.919	12.508	6.533
0610007P08Rik	4.976	3.373	3.726	1.946	6.897	2.176
0610007P14Rik	31.6	12.461	24.634	20.885	15.771	25.884
0610007P22Rik	13.119	13.239	21.44	25.173	16.637	18.528
0610009B22Rik	75.654	38.484	98.977	82.914	73.851	80.15
0610009D07Rik	49.815	33.045	55.671	91.204	24.679	58.403
0610009O20Rik	6.851	3.748	5.642	3.85	7.684	4.792
0610010B08Rik	8.36	5.235	11.18	8.421	12.172	8.191
0610010F05Rik	15.115	13.038	17.339	8.476	21.927	8.285
0610010K14Rik	37.343	20.505	36.074	34.627	23.035	32.462
0610010O12Rik	23.619	26.824	16.674	21.292	11.081	31.107
0610011F06Rik	62.775	38.595	48.756	43.678	31.644	25.763
0610011L14Rik	11.366	13.609	12.523	17.119	10.401	12.524
0610030E20Rik	4.014	2.508	5.227	1.679	6.002	3.013
0610031J06Rik	10.006	8.4	6.858	9.11	5.885	9.249
0610037L13Rik	42.697	21.256	48.374	44.066	27.858	35.953
0610037P05Rik	53.091	24.826	69.265	79.24	38.771	51.057
0910001L09Rik	45.957	18.524	32.306	46.949	19.384	47.321
1110001A16Rik	33.693	7.983	38.052	25.07	10.969	17.195
1110001J03Rik	135.285	57.581	138.226	166.319	54.24	87.941
1110002B05Rik	18.919	7.655	19.317	10.824	13.832	5.81
1110002N22Rik	9.374	6.071	9.228	5.893	8.552	15.975
1110003E01Rik	60.914	72.949	62.506	66.431	56.657	55.05
1110004E09Rik	42.578	23.882	50.118	59.484	51.864	38.556
1110004F10Rik	129.643	92.833	143.196	125.916	106.717	131.317
1110005A03Rik	6.189	3.347	4.361	4.492	6.608	3.122
1110007A13Rik	9.838	11.902	8.291	8.133	8.57	8.223
1110007C09Rik	6.678	4.444	8.484	12.233	7.861	13.053
1110008F13Rik	21.804	12.3	25.186	53.251	19.441	43.082
1110008J03Rik	7.408	5.817	10.445	11.684	7.955	7.334
1110008L16Rik	4.915	5.234	4.757	8.872	4.632	10.676
1110008P14Rik	81.02	37.127	80.222	168.981	42.296	158.426
1110012D08Rik	1.542	1.082	1.36	0.393	1.544	0.535
1110012J17Rik	4.764	16.843	5.387	7.604	7.052	9.445
1110012L19Rik	18.313	10.502	18.682	25.47	13.867	8.891
1110014N23Rik	11.514	13.889	14.195	13.242	11.556	13.344
1110017D15Rik	9.378	1.851	7.721	5.932	3.437	2.969
1110018G07Rik	9.43	10.924	9.129	12.577	17.457	35.579
1110018J18Rik	4.569	3.088	4.564	4.287	5.942	6.773
1110020G09Rik	9.77	7.123	9.789	3.707	12.223	6.246
1110021J02Rik	19.437	16.74	14.493	11.549	14.6	10.207
1110021L09Rik	6.336	2.91	4.682	2.393	5.794	2.214
1110028C15Rik	5.725	2.453	5.978	0.584	7.722	1.56
